code,section,year,day,start,end,room,instructor,ects
ENGR201,,2,Çar,08:00,11:50,,Prof.Dr. Özge Sürücü,6
ENGR206,,2,Per,17:00,18:50,,Dr. Öğr. Üyesi Ahmet Çelik,3
ENGR213,,2,Per,10:00,12:50,,Dr. Öğr. Üyesi Musaria Karim Mahmood Mahmood,3
ENGR227,,1,Çar,13:00,14:50,,,3
ENGR251,,2,Sal,15:00,17:50,,Arş.Gör.Dr. Oğuzhan Bilaç,3
ENGR265,,,Cum,19:00,21:00,Online,Prof. Dr. Hüseyin Canbolat,3
ENGR322,,3,Per,11:00,12:50,A422,Dr. Öğr. Üyesi Esra Özen,3
